feature	seqnames	start	end	width	strand	peak	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	V1	V2	V3	V4	V5	V6	V7	V8	gene_type	gene_status	gene_name	level	havana_gene
ENSG00000000457.13	chr1	169892000	169895200	3201	+	00720	169849631	169894267	-	overlapStart	2267	933	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000001036.13	chr6	143509400	143514000	4601	+	08481	143494811	143511690	-	overlapStart	2290	2290	NearestLocation	chr6	HAVANA	gene	143494811	143511690	.	-	.	protein_coding	KNOWN	FUCA2	2	OTTHUMG00000015728.2
ENSG00000001167.14	chr6	41070500	41075800	5301	+	08385	41072945	41099976	+	overlapStart	-2445	2445	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001460.17	chr1	24411750	24419950	8201	+	00605	24356999	24416934	-	overlapStart	5184	3016	NearestLocation	chr1	HAVANA	gene	24356999	24416934	.	-	.	protein_coding	KNOWN	STPG1	2	OTTHUMG00000003297.2
ENSG00000001497.16	chrX	65532700	65535900	3201	+	10136	65512582	65534775	-	overlapStart	2075	1125	NearestLocation	chrX	HAVANA	gene	65512582	65534775	.	-	.	protein_coding	KNOWN	LAS1L	2	OTTHUMG00000021720.2
ENSG00000001631.15	chr7	92243700	92247950	4251	+	09015	92198969	92246166	-	overlapStart	2466	1784	NearestLocation	chr7	HAVANA	gene	92198969	92246166	.	-	.	protein_coding	KNOWN	KRIT1	2	ncRNA_host
ENSG00000002330.13	chr11	64281500	64287800	6301	+	01911	64269830	64284704	-	overlapStart	3204	3096	NearestLocation	chr11	HAVANA	gene	64269830	64284704	.	-	.	protein_coding	KNOWN	BAD	1	OTTHUMG00000134302.4
ENSG00000002549.12	chr4	17575650	17579400	3751	+	07590	17577192	17607972	+	overlapStart	-1542	1542	NearestLocation	chr4	HAVANA	gene	17577192	17607972	.	+	.	protein_coding	KNOWN	LAP3	2	OTTHUMG00000048214.7
ENSG00000002822.15	chr7	2226800	2235900	9101	+	09151	1815793	2233243	-	overlapStart	6443	2657	NearestLocation	chr7	HAVANA	gene	1815793	2233243	.	-	.	protein_coding	KNOWN	MAD1L1	1	ncRNA_host
ENSG00000002834.17	chr17	38866100	38875100	9001	+	04061	38869859	38921770	+	overlapStart	-3759	3759	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002919.14	chr17	48106050	48109900	3851	+	04127	48103357	48123074	+	inside	2693	2693	NearestLocation	chr17	HAVANA	gene	48103357	48123074	.	+	.	protein_coding	KNOWN	SNX11	2	OTTHUMG00000178822.2
ENSG00000003056.7	chr12	8947450	8951950	4501	+	02200	8940363	8949955	-	overlapStart	2505	1995	NearestLocation	chr12	HAVANA	gene	8940363	8949955	.	-	.	protein_coding	KNOWN	M6PR	1	OTTHUMG00000168276.3
ENSG00000003147.17	chr7	8260300	8263250	2951	+	09162	8113184	8262687	-	overlapStart	2387	563	NearestLocation	chr7	HAVANA	gene	8113184	8262687	.	-	.	protein_coding	KNOWN	ICA1	2	OTTHUMG00000152008.8
ENSG00000003393.14	chr2	201779450	201782850	3401	+	05824	201700554	201781189	-	overlapStart	1739	1661	NearestLocation	chr2	HAVANA	gene	201700554	201781189	.	-	.	protein_coding	KNOWN	ALS2	2	OTTHUMG00000154507.7
ENSG00000003400.14	chr2	201182050	201186800	4751	+	06173	201182881	201229406	+	overlapStart	-831	831	NearestLocation	chr2	HAVANA	gene	201182881	201229406	.	+	.	protein_coding	KNOWN	CASP10	2	OTTHUMG00000132818.4
ENSG00000003402.19	chr2	201112500	201121950	9451	+	05951	201116104	201176687	+	overlapStart	-3604	3604	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
ENSG00000003756.16	chr3	50087100	50090650	3551	+	06940	50088908	50119021	+	overlapStart	-1808	1742	NearestLocation	chr3	HAVANA	gene	50088908	50119021	.	+	.	protein_coding	KNOWN	RBM5	1	overlapping_locus
ENSG00000004059.10	chr7	127581800	127586450	4651	+	08863	127588345	127591705	+	upstream	-6545	1895	NearestLocation	chr7	HAVANA	gene	127588345	127591705	.	+	.	protein_coding	KNOWN	ARF5	2	overlapping_locus
ENSG00000004059.10	chr7	127587250	127596700	9451	+	08959	127588345	127591705	+	includeFeature	-1095	1095	NearestLocation	chr7	HAVANA	gene	127588345	127591705	.	+	.	protein_coding	KNOWN	ARF5	2	overlapping_locus
ENSG00000004142.11	chr17	28355000	28359000	4001	+	03999	28347177	28357522	-	overlapStart	2522	1478	NearestLocation	chr17	HAVANA	gene	28347177	28357522	.	-	.	protein_coding	KNOWN	POLDIP2	2	OTTHUMG00000132065.8
ENSG00000004478.7	chr12	2794000	2798150	4151	+	02424	2794953	2805423	+	overlapStart	-953	953	NearestLocation	chr12	HAVANA	gene	2794953	2805423	.	+	.	protein_coding	KNOWN	FKBP4	2	OTTHUMG00000090429.3
