feature	seqnames	start	end	width	strand	peak	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	V1	V2	V3	V4	V5	V6	V7	V8	gene_type	gene_status	gene_name	level	havana_gene
ENSG00000000457.13	chr1	169893066	169894166	1101	+	02309	169849631	169894267	-	inside	1201	101	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000000457.13	chr1	169894466	169894716	251	+	02310	169849631	169894267	-	upstream	-199	199	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000000460.16	chr1	169662466	169662616	151	+	02306	169662007	169854080	+	inside	459	459	NearestLocation	chr1	HAVANA	gene	169662007	169854080	.	+	.	protein_coding	KNOWN	C1orf112	2	OTTHUMG00000035821.8
ENSG00000001036.13	chr6	143510315	143510765	451	+	23546	143494811	143511690	-	inside	1375	925	NearestLocation	chr6	HAVANA	gene	143494811	143511690	.	-	.	protein_coding	KNOWN	FUCA2	2	OTTHUMG00000015728.2
ENSG00000001036.13	chr6	143510915	143512065	1151	+	23547	143494811	143511690	-	overlapStart	775	375	NearestLocation	chr6	HAVANA	gene	143494811	143511690	.	-	.	protein_coding	KNOWN	FUCA2	2	OTTHUMG00000015728.2
ENSG00000001167.14	chr6	41071665	41072815	1151	+	22933	41072945	41099976	+	upstream	-1280	130	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001167.14	chr6	41073065	41074115	1051	+	22934	41072945	41099976	+	inside	120	120	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001167.14	chr6	41074465	41074615	151	+	22935	41072945	41099976	+	inside	1520	1520	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001461.16	chr1	24413116	24413766	651	+	00394	24415794	24472976	+	upstream	-2678	2028	NearestLocation	chr1	HAVANA	gene	24415794	24472976	.	+	.	protein_coding	KNOWN	NIPAL3	2	OTTHUMG00000003299.3
ENSG00000001461.16	chr1	24415766	24416766	1001	+	00395	24415794	24472976	+	overlapStart	-28	28	NearestLocation	chr1	HAVANA	gene	24415794	24472976	.	+	.	protein_coding	KNOWN	NIPAL3	2	OTTHUMG00000003299.3
ENSG00000001497.16	chrX	65533409	65534859	1451	+	28045	65512582	65534775	-	overlapStart	1366	84	NearestLocation	chrX	HAVANA	gene	65512582	65534775	.	-	.	protein_coding	KNOWN	LAS1L	2	OTTHUMG00000021720.2
ENSG00000001617.11	chr3	50155114	50155614	501	+	18726	50155045	50189075	+	inside	69	69	NearestLocation	chr3	HAVANA	gene	50155045	50189075	.	+	.	protein_coding	KNOWN	SEMA3F	2	ncRNA_host
ENSG00000001631.15	chr7	92244857	92247057	2201	+	24879	92198969	92246166	-	overlapStart	1309	891	NearestLocation	chr7	HAVANA	gene	92198969	92246166	.	-	.	protein_coding	KNOWN	KRIT1	2	ncRNA_host
ENSG00000002330.13	chr11	64284198	64284598	401	+	04498	64269830	64284704	-	inside	506	106	NearestLocation	chr11	HAVANA	gene	64269830	64284704	.	-	.	protein_coding	KNOWN	BAD	1	OTTHUMG00000134302.4
ENSG00000002330.13	chr11	64284848	64285898	1051	+	04499	64269830	64284704	-	upstream	-144	144	NearestLocation	chr11	HAVANA	gene	64269830	64284704	.	-	.	protein_coding	KNOWN	BAD	1	OTTHUMG00000134302.4
ENSG00000002330.13	chr11	64286048	64286198	151	+	04500	64269830	64284704	-	upstream	-1344	1344	NearestLocation	chr11	HAVANA	gene	64269830	64284704	.	-	.	protein_coding	KNOWN	BAD	1	OTTHUMG00000134302.4
ENSG00000002549.12	chr4	17576439	17578589	2151	+	19911	17577192	17607972	+	overlapStart	-753	753	NearestLocation	chr4	HAVANA	gene	17577192	17607972	.	+	.	protein_coding	KNOWN	LAP3	2	OTTHUMG00000048214.7
ENSG00000002549.12	chr4	17578639	17578739	101	+	19912	17577192	17607972	+	inside	1447	1447	NearestLocation	chr4	HAVANA	gene	17577192	17607972	.	+	.	protein_coding	KNOWN	LAP3	2	OTTHUMG00000048214.7
ENSG00000002586.18	chrX	2691259	2692109	851	+	27614	2691179	2741309	+	inside	80	80	NearestLocation	chrX	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	OTTHUMG00000021073.6
ENSG00000002586.18_PAR_Y	chrY	2691273	2692123	851	+	29034	2691179	2741309	+	inside	94	94	NearestLocation	chrY	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	PAR
ENSG00000002745.12	chr7	121330407	121330507	101	+	25151	121325367	121341104	+	inside	5040	5040	NearestLocation	chr7	HAVANA	gene	121325367	121341104	.	+	.	protein_coding	KNOWN	WNT16	2	OTTHUMG00000156963.1
ENSG00000002822.15	chr7	2231957	2233307	1351	+	23740	1815793	2233243	-	overlapStart	1286	64	NearestLocation	chr7	HAVANA	gene	1815793	2233243	.	-	.	protein_coding	KNOWN	MAD1L1	1	ncRNA_host
ENSG00000002834.17	chr17	38867014	38867564	551	+	11708	38869859	38921770	+	upstream	-2845	2295	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002834.17	chr17	38867864	38867964	101	+	11709	38869859	38921770	+	upstream	-1995	1895	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002834.17	chr17	38868264	38868514	251	+	11710	38869859	38921770	+	upstream	-1595	1345	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002834.17	chr17	38868914	38869114	201	+	11711	38869859	38921770	+	upstream	-945	745	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002834.17	chr17	38869314	38871614	2301	+	11712	38869859	38921770	+	overlapStart	-545	545	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002834.17	chr17	38871814	38871964	151	+	11713	38869859	38921770	+	inside	1955	1955	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002919.14	chr17	48107014	48108364	1351	+	11995	48103357	48123074	+	inside	3657	3657	NearestLocation	chr17	HAVANA	gene	48103357	48123074	.	+	.	protein_coding	KNOWN	SNX11	2	OTTHUMG00000178822.2
ENSG00000003056.7	chr12	8948651	8950301	1651	+	05317	8940363	8949955	-	overlapStart	1304	346	NearestLocation	chr12	HAVANA	gene	8940363	8949955	.	-	.	protein_coding	KNOWN	M6PR	1	OTTHUMG00000168276.3
ENSG00000003096.13	chrX	118116959	118117259	301	+	28662	117897813	118117340	-	inside	381	81	NearestLocation	chrX	HAVANA	gene	117897813	118117340	.	-	.	protein_coding	KNOWN	KLHL13	2	ncRNA_host
