feature	seqnames	start	end	width	strand	peak	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	V1	V2	V3	V4	V5	V6	V7	V8	gene_type	gene_status	gene_name	level	havana_gene
ENSG00000000457.13	chr1	169892999	169895499	2501	+	01144	169849631	169894267	-	overlapStart	1268	1232	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000000460.16	chr1	169661999	169663999	2001	+	01142	169662007	169854080	+	overlapStart	-8	8	NearestLocation	chr1	HAVANA	gene	169662007	169854080	.	+	.	protein_coding	KNOWN	C1orf112	2	OTTHUMG00000035821.8
ENSG00000000971.15	chr1	196649999	196654499	4501	+	01248	196651878	196747504	+	overlapStart	-1879	1879	NearestLocation	chr1	HAVANA	gene	196651878	196747504	.	+	.	protein_coding	KNOWN	CFH	1	OTTHUMG00000035607.5
ENSG00000001036.13	chr6	143509499	143512499	3001	+	12788	143494811	143511690	-	overlapStart	2191	809	NearestLocation	chr6	HAVANA	gene	143494811	143511690	.	-	.	protein_coding	KNOWN	FUCA2	2	OTTHUMG00000015728.2
ENSG00000001167.14	chr6	41070999	41075499	4501	+	12380	41072945	41099976	+	overlapStart	-1946	1946	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001460.17	chr1	24412999	24419499	6501	+	00221	24356999	24416934	-	overlapStart	3935	2565	NearestLocation	chr1	HAVANA	gene	24356999	24416934	.	-	.	protein_coding	KNOWN	STPG1	2	OTTHUMG00000003297.2
ENSG00000001497.16	chrX	65533499	65535999	2501	+	15137	65512582	65534775	-	overlapStart	1276	1224	NearestLocation	chrX	HAVANA	gene	65512582	65534775	.	-	.	protein_coding	KNOWN	LAS1L	2	OTTHUMG00000021720.2
ENSG00000001617.11	chr3	50154999	50155999	1001	+	10002	50155045	50189075	+	overlapStart	-46	46	NearestLocation	chr3	HAVANA	gene	50155045	50189075	.	+	.	protein_coding	KNOWN	SEMA3F	2	ncRNA_host
ENSG00000001631.15	chr7	92243999	92247499	3501	+	13338	92198969	92246166	-	overlapStart	2167	1333	NearestLocation	chr7	HAVANA	gene	92198969	92246166	.	-	.	protein_coding	KNOWN	KRIT1	2	ncRNA_host
ENSG00000002330.13	chr11	64267999	64286499	18501	+	02481	64269830	64284704	-	includeFeature	16705	1795	NearestLocation	chr11	HAVANA	gene	64269830	64284704	.	-	.	protein_coding	KNOWN	BAD	1	OTTHUMG00000134302.4
ENSG00000002549.12	chr4	17576499	17578999	2501	+	10724	17577192	17607972	+	overlapStart	-693	693	NearestLocation	chr4	HAVANA	gene	17577192	17607972	.	+	.	protein_coding	KNOWN	LAP3	2	OTTHUMG00000048214.7
ENSG00000002586.18	chrX	2690999	2692999	2001	+	14883	2691179	2741309	+	overlapStart	-180	180	NearestLocation	chrX	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	OTTHUMG00000021073.6
ENSG00000002586.18_PAR_Y	chrY	2690999	2692499	1501	+	15538	2691179	2741309	+	overlapStart	-180	180	NearestLocation	chrY	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	PAR
