feature	seqnames	start	end	width	strand	peak	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	V1	V2	V3	V4	V5	V6	V7	V8	gene_type	gene_status	gene_name	level	havana_gene
ENSG00000000457.13	chr1	169893082	169894277	1196	+	01793	169849631	169894267	-	overlapStart	1185	10	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000000457.13	chr1	169894462	169894733	272	+	01794	169849631	169894267	-	upstream	-195	195	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000001036.13	chr6	143510318	143510745	428	+	19864	143494811	143511690	-	inside	1372	945	NearestLocation	chr6	HAVANA	gene	143494811	143511690	.	-	.	protein_coding	KNOWN	FUCA2	2	OTTHUMG00000015728.2
ENSG00000001036.13	chr6	143510854	143512174	1321	+	19865	143494811	143511690	-	overlapStart	836	484	NearestLocation	chr6	HAVANA	gene	143494811	143511690	.	-	.	protein_coding	KNOWN	FUCA2	2	OTTHUMG00000015728.2
ENSG00000001167.14	chr6	41071544	41072907	1364	+	19325	41072945	41099976	+	upstream	-1401	38	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001167.14	chr6	41072999	41074290	1292	+	19326	41072945	41099976	+	inside	54	54	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001167.14	chr6	41074344	41074642	299	+	19327	41072945	41099976	+	inside	1399	1399	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001461.16	chr1	24413084	24413849	766	+	00373	24415794	24472976	+	upstream	-2710	1945	NearestLocation	chr1	HAVANA	gene	24415794	24472976	.	+	.	protein_coding	KNOWN	NIPAL3	2	OTTHUMG00000003299.3
ENSG00000001497.16	chrX	65533415	65534855	1441	+	23498	65512582	65534775	-	overlapStart	1360	80	NearestLocation	chrX	HAVANA	gene	65512582	65534775	.	-	.	protein_coding	KNOWN	LAS1L	2	OTTHUMG00000021720.2
ENSG00000001617.11	chr3	50155033	50155795	763	+	15698	50155045	50189075	+	overlapStart	-12	12	NearestLocation	chr3	HAVANA	gene	50155045	50189075	.	+	.	protein_coding	KNOWN	SEMA3F	2	ncRNA_host
ENSG00000001631.15	chr7	92244914	92247139	2226	+	20662	92198969	92246166	-	overlapStart	1252	973	NearestLocation	chr7	HAVANA	gene	92198969	92246166	.	-	.	protein_coding	KNOWN	KRIT1	2	ncRNA_host
ENSG00000002330.13	chr11	64284063	64284690	628	+	03846	64269830	64284704	-	inside	641	14	NearestLocation	chr11	HAVANA	gene	64269830	64284704	.	-	.	protein_coding	KNOWN	BAD	1	OTTHUMG00000134302.4
ENSG00000002330.13	chr11	64284792	64286316	1525	+	03847	64269830	64284704	-	upstream	-88	88	NearestLocation	chr11	HAVANA	gene	64269830	64284704	.	-	.	protein_coding	KNOWN	BAD	1	OTTHUMG00000134302.4
ENSG00000002549.12	chr4	17576380	17578911	2532	+	16775	17577192	17607972	+	overlapStart	-812	812	NearestLocation	chr4	HAVANA	gene	17577192	17607972	.	+	.	protein_coding	KNOWN	LAP3	2	OTTHUMG00000048214.7
ENSG00000002586.18	chrX	2691203	2692122	920	+	23111	2691179	2741309	+	inside	24	24	NearestLocation	chrX	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	OTTHUMG00000021073.6
ENSG00000002586.18_PAR_Y	chrY	2691237	2692088	852	+	24066	2691179	2741309	+	inside	58	58	NearestLocation	chrY	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	PAR
ENSG00000002746.14	chr7	43113097	43113338	242	+	20366	43112599	43566001	+	inside	498	498	NearestLocation	chr7	HAVANA	gene	43112599	43566001	.	+	.	protein_coding	KNOWN	HECW1	1	ncRNA_host
ENSG00000002822.15	chr7	2231924	2233484	1561	+	20059	1815793	2233243	-	overlapStart	1319	241	NearestLocation	chr7	HAVANA	gene	1815793	2233243	.	-	.	protein_coding	KNOWN	MAD1L1	1	ncRNA_host
ENSG00000002834.17	chr17	38866888	38867624	737	+	09196	38869859	38921770	+	upstream	-2971	2235	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002834.17	chr17	38867707	38868606	900	+	09197	38869859	38921770	+	upstream	-2152	1253	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002834.17	chr17	38868803	38872012	3210	+	09198	38869859	38921770	+	overlapStart	-1056	1056	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002919.14	chr17	48106937	48108437	1501	+	09466	48103357	48123074	+	inside	3580	3580	NearestLocation	chr17	HAVANA	gene	48103357	48123074	.	+	.	protein_coding	KNOWN	SNX11	2	OTTHUMG00000178822.2
ENSG00000003056.7	chr12	8948437	8950356	1920	+	04593	8940363	8949955	-	overlapStart	1518	401	NearestLocation	chr12	HAVANA	gene	8940363	8949955	.	-	.	protein_coding	KNOWN	M6PR	1	OTTHUMG00000168276.3
ENSG00000003096.13	chrX	118116917	118117322	406	+	23743	117897813	118117340	-	inside	423	18	NearestLocation	chrX	HAVANA	gene	117897813	118117340	.	-	.	protein_coding	KNOWN	KLHL13	2	ncRNA_host
ENSG00000003147.17	chr7	8261126	8262795	1670	+	20145	8113184	8262687	-	overlapStart	1561	108	NearestLocation	chr7	HAVANA	gene	8113184	8262687	.	-	.	protein_coding	KNOWN	ICA1	2	OTTHUMG00000152008.8
ENSG00000003249.13	chr16	90018691	90020383	1693	+	08596	90004865	90020128	-	overlapStart	1437	255	NearestLocation	chr16	HAVANA	gene	90004865	90020128	.	-	.	protein_coding	KNOWN	DBNDD1	2	OTTHUMG00000138984.3
ENSG00000003393.14	chr2	201780249	201781787	1539	+	13480	201700554	201781189	-	overlapStart	940	598	NearestLocation	chr2	HAVANA	gene	201700554	201781189	.	-	.	protein_coding	KNOWN	ALS2	2	OTTHUMG00000154507.7
ENSG00000003400.14	chr2	201183155	201183529	375	+	13473	201182881	201229406	+	inside	274	274	NearestLocation	chr2	HAVANA	gene	201182881	201229406	.	+	.	protein_coding	KNOWN	CASP10	2	OTTHUMG00000132818.4
ENSG00000003400.14	chr2	201183884	201184697	814	+	13474	201182881	201229406	+	inside	1003	1003	NearestLocation	chr2	HAVANA	gene	201182881	201229406	.	+	.	protein_coding	KNOWN	CASP10	2	OTTHUMG00000132818.4
ENSG00000003400.14	chr2	201184981	201185242	262	+	13475	201182881	201229406	+	inside	2100	2100	NearestLocation	chr2	HAVANA	gene	201182881	201229406	.	+	.	protein_coding	KNOWN	CASP10	2	OTTHUMG00000132818.4
ENSG00000003402.19	chr2	201114168	201114614	447	+	13466	201116104	201176687	+	upstream	-1936	1490	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
ENSG00000003402.19	chr2	201114793	201115122	330	+	13467	201116104	201176687	+	upstream	-1311	982	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
ENSG00000003402.19	chr2	201115340	201117232	1893	+	13468	201116104	201176687	+	overlapStart	-764	764	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
ENSG00000003402.19	chr2	201117752	201119760	2009	+	13469	201116104	201176687	+	inside	1648	1648	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
ENSG00000003402.19	chr2	201120054	201120409	356	+	13470	201116104	201176687	+	inside	3950	3950	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
ENSG00000003402.19	chr2	201120904	201121101	198	+	13471	201116104	201176687	+	inside	4800	4800	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
ENSG00000003402.19	chr2	201125834	201126070	237	+	13472	201116104	201176687	+	inside	9730	9730	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
ENSG00000003756.16	chr3	50088383	50088654	272	+	15696	50088908	50119021	+	upstream	-525	254	NearestLocation	chr3	HAVANA	gene	50088908	50119021	.	+	.	protein_coding	KNOWN	RBM5	1	overlapping_locus
ENSG00000003756.16	chr3	50088740	50090081	1342	+	15697	50088908	50119021	+	overlapStart	-168	168	NearestLocation	chr3	HAVANA	gene	50088908	50119021	.	+	.	protein_coding	KNOWN	RBM5	1	overlapping_locus
ENSG00000004059.10	chr7	127584197	127585935	1739	+	20954	127588345	127591705	+	upstream	-4148	2410	NearestLocation	chr7	HAVANA	gene	127588345	127591705	.	+	.	protein_coding	KNOWN	ARF5	2	overlapping_locus
ENSG00000004059.10	chr7	127587795	127589404	1610	+	20955	127588345	127591705	+	overlapStart	-550	550	NearestLocation	chr7	HAVANA	gene	127588345	127591705	.	+	.	protein_coding	KNOWN	ARF5	2	overlapping_locus
ENSG00000004142.11	chr17	28356609	28358436	1828	+	09038	28347177	28357522	-	overlapStart	913	913	NearestLocation	chr17	HAVANA	gene	28347177	28357522	.	-	.	protein_coding	KNOWN	POLDIP2	2	OTTHUMG00000132065.8
ENSG00000004399.12	chr3	129605339	129606708	1370	+	16127	129555175	129606818	-	inside	1479	110	NearestLocation	chr3	HAVANA	gene	129555175	129606818	.	-	.	protein_coding	KNOWN	PLXND1	1	OTTHUMG00000159547.15
ENSG00000004399.12	chr3	129606925	129607372	448	+	16128	129555175	129606818	-	upstream	-107	107	NearestLocation	chr3	HAVANA	gene	129555175	129606818	.	-	.	protein_coding	KNOWN	PLXND1	1	OTTHUMG00000159547.15
ENSG00000004455.16	chr1	33080807	33081019	213	+	00567	33007940	33080996	-	overlapStart	189	23	NearestLocation	chr1	HAVANA	gene	33007940	33080996	.	-	.	protein_coding	KNOWN	AK2	1	ncRNA_host
ENSG00000004478.7	chr12	2794939	2796690	1752	+	04497	2794953	2805423	+	overlapStart	-14	14	NearestLocation	chr12	HAVANA	gene	2794953	2805423	.	+	.	protein_coding	KNOWN	FKBP4	2	OTTHUMG00000090429.3
ENSG00000004487.15	chr1	23018863	23020688	1826	+	00340	23019448	23083689	+	overlapStart	-585	585	NearestLocation	chr1	HAVANA	gene	23019448	23083689	.	+	.	protein_coding	KNOWN	KDM1A	1	ncRNA_host
ENSG00000004487.15	chr1	23021368	23021597	230	+	00341	23019448	23083689	+	inside	1920	1920	NearestLocation	chr1	HAVANA	gene	23019448	23083689	.	+	.	protein_coding	KNOWN	KDM1A	1	ncRNA_host
ENSG00000004534.14	chr3	49940032	49941166	1135	+	15695	49940007	50100045	+	inside	25	25	NearestLocation	chr3	HAVANA	gene	49940007	50100045	.	+	.	protein_coding	KNOWN	RBM6	1	overlapping_locus
ENSG00000004660.14	chr17	3891900	3892998	1099	+	08690	3860315	3894891	-	inside	2991	1893	NearestLocation	chr17	HAVANA	gene	3860315	3894891	.	-	.	protein_coding	KNOWN	CAMKK1	2	OTTHUMG00000090725.2
ENSG00000004660.14	chr17	3893167	3893833	667	+	08691	3860315	3894891	-	inside	1724	1058	NearestLocation	chr17	HAVANA	gene	3860315	3894891	.	-	.	protein_coding	KNOWN	CAMKK1	2	OTTHUMG00000090725.2
ENSG00000004700.15	chr12	21500865	21501670	806	+	04666	21468911	21501669	-	overlapStart	804	1	NearestLocation	chr12	HAVANA	gene	21468911	21501669	.	-	.	protein_coding	KNOWN	RECQL	2	OTTHUMG00000169131.2
ENSG00000004766.15	chr7	93231698	93232973	1276	+	20673	93232340	93361121	+	overlapStart	-642	633	NearestLocation	chr7	HAVANA	gene	93232340	93361121	.	+	.	protein_coding	KNOWN	VPS50	2	OTTHUMG00000131733.3
ENSG00000004776.11	chr19	35757310	35757957	648	+	11293	35754568	35758079	-	inside	769	122	NearestLocation	chr19	HAVANA	gene	35754568	35758079	.	-	.	protein_coding	KNOWN	HSPB6	2	OTTHUMG00000048122.3
ENSG00000004777.18	chr19	35774868	35775291	424	+	11295	35774532	35788822	+	inside	336	336	NearestLocation	chr19	HAVANA	gene	35774532	35788822	.	+	.	protein_coding	KNOWN	ARHGAP33	1	OTTHUMG00000182071.4
ENSG00000004777.18	chr19	35775430	35776082	653	+	11296	35774532	35788822	+	inside	898	898	NearestLocation	chr19	HAVANA	gene	35774532	35788822	.	+	.	protein_coding	KNOWN	ARHGAP33	1	OTTHUMG00000182071.4
ENSG00000004779.9	chr16	23594921	23596385	1465	+	07993	23581002	23596356	-	overlapStart	1435	29	NearestLocation	chr16	HAVANA	gene	23581002	23596356	.	-	.	protein_coding	KNOWN	NDUFAB1	1	OTTHUMG00000096985.5
ENSG00000004864.13	chr7	96321084	96322517	1434	+	20685	96120220	96322147	-	overlapStart	1063	370	NearestLocation	chr7	HAVANA	gene	96120220	96322147	.	-	.	protein_coding	KNOWN	SLC25A13	2	ncRNA_host
ENSG00000004897.11	chr17	47188316	47189363	1048	+	09435	47117703	47189422	-	inside	1106	59	NearestLocation	chr17	HAVANA	gene	47117703	47189422	.	-	.	protein_coding	KNOWN	CDC27	2	overlapping_locus
ENSG00000004961.14	chrX	11110993	11112512	1520	+	23130	11111301	11123078	+	overlapStart	-308	308	NearestLocation	chrX	HAVANA	gene	11111301	11123078	.	+	.	protein_coding	KNOWN	HCCS	2	OTTHUMG00000021128.1
ENSG00000004975.11	chr17	7232695	7235052	2358	+	08749	7225341	7234545	-	overlapStart	1850	507	NearestLocation	chr17	HAVANA	gene	7225341	7234545	.	-	.	protein_coding	KNOWN	DVL2	2	OTTHUMG00000102155.4
ENSG00000005007.12	chr19	18831395	18833392	1998	+	11113	18831938	18868236	+	overlapStart	-543	543	NearestLocation	chr19	HAVANA	gene	18831938	18868236	.	+	.	protein_coding	KNOWN	UPF1	2	OTTHUMG00000183025.2
ENSG00000005007.12	chr19	18833564	18834395	832	+	11114	18831938	18868236	+	inside	1626	1626	NearestLocation	chr19	HAVANA	gene	18831938	18868236	.	+	.	protein_coding	KNOWN	UPF1	2	OTTHUMG00000183025.2
ENSG00000005022.5	chrX	119468342	119469930	1589	+	23758	119468400	119471319	+	overlapStart	-58	58	NearestLocation	chrX	HAVANA	gene	119468400	119471319	.	+	.	protein_coding	KNOWN	SLC25A5	2	OTTHUMG00000022715.2
