feature	seqnames	start	end	width	strand	peak	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	V1	V2	V3	V4	V5	V6	V7	V8	gene_type	gene_status	gene_name	level	havana_gene
ENSG00000000457.13	chr1	169892200	169894799	2600	+	01969	169849631	169894267	-	overlapStart	2067	532	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000000460.16	chr1	169661800	169663799	2000	+	01967	169662007	169854080	+	overlapStart	-207	207	NearestLocation	chr1	HAVANA	gene	169662007	169854080	.	+	.	protein_coding	KNOWN	C1orf112	2	OTTHUMG00000035821.8
ENSG00000000938.12	chr1	27634200	27634599	400	+	00548	27612064	27635277	-	inside	1077	678	NearestLocation	chr1	HAVANA	gene	27612064	27635277	.	-	.	protein_coding	KNOWN	FGR	2	OTTHUMG00000003516.2
ENSG00000000938.12	chr1	27639400	27640799	1400	+	00549	27612064	27635277	-	upstream	-4123	4123	NearestLocation	chr1	HAVANA	gene	27612064	27635277	.	-	.	protein_coding	KNOWN	FGR	2	OTTHUMG00000003516.2
ENSG00000000971.15	chr1	196649800	196650599	800	+	02144	196651878	196747504	+	upstream	-2078	1279	NearestLocation	chr1	HAVANA	gene	196651878	196747504	.	+	.	protein_coding	KNOWN	CFH	1	OTTHUMG00000035607.5
ENSG00000000971.15	chr1	196652000	196654199	2200	+	02145	196651878	196747504	+	inside	122	122	NearestLocation	chr1	HAVANA	gene	196651878	196747504	.	+	.	protein_coding	KNOWN	CFH	1	OTTHUMG00000035607.5
ENSG00000001036.13	chr6	143509600	143512399	2800	+	09404	143494811	143511690	-	overlapStart	2090	709	NearestLocation	chr6	HAVANA	gene	143494811	143511690	.	-	.	protein_coding	KNOWN	FUCA2	2	OTTHUMG00000015728.2
ENSG00000001167.14	chr6	41070800	41075399	4600	+	08742	41072945	41099976	+	overlapStart	-2145	2145	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001461.16	chr1	24414800	24418799	4000	+	00444	24415794	24472976	+	overlapStart	-994	994	NearestLocation	chr1	HAVANA	gene	24415794	24472976	.	+	.	protein_coding	KNOWN	NIPAL3	2	OTTHUMG00000003299.3
ENSG00000001497.16	chrX	65533200	65535599	2400	+	25311	65512582	65534775	-	overlapStart	1575	824	NearestLocation	chrX	HAVANA	gene	65512582	65534775	.	-	.	protein_coding	KNOWN	LAS1L	2	OTTHUMG00000021720.2
ENSG00000001631.15	chr7	92242800	92243199	400	+	10342	92198969	92246166	-	inside	3366	2967	NearestLocation	chr7	HAVANA	gene	92198969	92246166	.	-	.	protein_coding	KNOWN	KRIT1	2	ncRNA_host
ENSG00000001631.15	chr7	92244000	92247599	3600	+	10343	92198969	92246166	-	overlapStart	2166	1433	NearestLocation	chr7	HAVANA	gene	92198969	92246166	.	-	.	protein_coding	KNOWN	KRIT1	2	ncRNA_host
ENSG00000002330.13	chr11	64284000	64287399	3400	+	14736	64269830	64284704	-	overlapStart	704	704	NearestLocation	chr11	HAVANA	gene	64269830	64284704	.	-	.	protein_coding	KNOWN	BAD	1	OTTHUMG00000134302.4
ENSG00000002549.12	chr4	17576000	17578999	3000	+	05934	17577192	17607972	+	overlapStart	-1192	1192	NearestLocation	chr4	HAVANA	gene	17577192	17607972	.	+	.	protein_coding	KNOWN	LAP3	2	OTTHUMG00000048214.7
ENSG00000002586.18	chrX	2690800	2692799	2000	+	24917	2691179	2741309	+	overlapStart	-379	379	NearestLocation	chrX	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	OTTHUMG00000021073.6
ENSG00000002586.18_PAR_Y	chrY	2690800	2692799	2000	+	25950	2691179	2741309	+	overlapStart	-379	379	NearestLocation	chrY	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	PAR
ENSG00000002745.12	chr7	121330200	121330799	600	+	10688	121325367	121341104	+	inside	4833	4833	NearestLocation	chr7	HAVANA	gene	121325367	121341104	.	+	.	protein_coding	KNOWN	WNT16	2	OTTHUMG00000156963.1
ENSG00000002822.15	chr7	2229800	2233999	4200	+	09652	1815793	2233243	-	overlapStart	3443	756	NearestLocation	chr7	HAVANA	gene	1815793	2233243	.	-	.	protein_coding	KNOWN	MAD1L1	1	ncRNA_host
ENSG00000002834.17	chr17	38866400	38872799	6400	+	20200	38869859	38921770	+	overlapStart	-3459	2940	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002834.17	chr17	38873600	38874799	1200	+	20201	38869859	38921770	+	inside	3741	3741	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002919.14	chr17	48106600	48109399	2800	+	20471	48103357	48123074	+	inside	3243	3243	NearestLocation	chr17	HAVANA	gene	48103357	48123074	.	+	.	protein_coding	KNOWN	SNX11	2	OTTHUMG00000178822.2
ENSG00000003056.7	chr12	8948000	8951599	3600	+	15510	8940363	8949955	-	overlapStart	1955	1644	NearestLocation	chr12	HAVANA	gene	8940363	8949955	.	-	.	protein_coding	KNOWN	M6PR	1	OTTHUMG00000168276.3
ENSG00000003096.13	chrX	118116000	118117399	1400	+	25622	117897813	118117340	-	overlapStart	1340	59	NearestLocation	chrX	HAVANA	gene	117897813	118117340	.	-	.	protein_coding	KNOWN	KLHL13	2	ncRNA_host
ENSG00000003147.17	chr7	8260800	8262799	2000	+	09741	8113184	8262687	-	overlapStart	1887	112	NearestLocation	chr7	HAVANA	gene	8113184	8262687	.	-	.	protein_coding	KNOWN	ICA1	2	OTTHUMG00000152008.8
ENSG00000003393.14	chr2	201779800	201782599	2800	+	04061	201700554	201781189	-	overlapStart	1389	1389	NearestLocation	chr2	HAVANA	gene	201700554	201781189	.	-	.	protein_coding	KNOWN	ALS2	2	OTTHUMG00000154507.7
ENSG00000003400.14	chr2	201182400	201186599	4200	+	04052	201182881	201229406	+	overlapStart	-481	481	NearestLocation	chr2	HAVANA	gene	201182881	201229406	.	+	.	protein_coding	KNOWN	CASP10	2	OTTHUMG00000132818.4
