feature	seqnames	start	end	width	strand	peak	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	V1	V2	V3	V4	V5	V6	V7	V8	gene_type	gene_status	gene_name	level	havana_gene
ENSG00000000419.12	chr20	50958182	50958952	771	+	22449	50934867	50958555	-	overlapStart	373	373	NearestLocation	chr20	HAVANA	gene	50934867	50958555	.	-	.	protein_coding	KNOWN	DPM1	2	OTTHUMG00000032742.2
ENSG00000000457.13	chr1	169893708	169894260	553	+	01684	169849631	169894267	-	inside	559	7	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000000938.12	chr1	27631202	27631481	280	+	01288	27612064	27635277	-	inside	4075	3796	NearestLocation	chr1	HAVANA	gene	27612064	27635277	.	-	.	protein_coding	KNOWN	FGR	2	OTTHUMG00000003516.2
ENSG00000000971.15	chr1	196650189	196650452	264	+	03540	196651878	196747504	+	upstream	-1689	1426	NearestLocation	chr1	HAVANA	gene	196651878	196747504	.	+	.	protein_coding	KNOWN	CFH	1	OTTHUMG00000035607.5
ENSG00000001167.14	chr6	41071905	41072991	1087	+	29773	41072945	41099976	+	overlapStart	-1040	46	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001167.14	chr6	41073408	41073933	526	+	29393	41072945	41099976	+	inside	463	463	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001461.16	chr1	24413213	24413607	395	+	00815	24415794	24472976	+	upstream	-2581	2187	NearestLocation	chr1	HAVANA	gene	24415794	24472976	.	+	.	protein_coding	KNOWN	NIPAL3	2	OTTHUMG00000003299.3
ENSG00000001617.11	chr3	50154594	50154877	284	+	24803	50155045	50189075	+	upstream	-451	168	NearestLocation	chr3	HAVANA	gene	50155045	50189075	.	+	.	protein_coding	KNOWN	SEMA3F	2	ncRNA_host
ENSG00000001630.15	chr7	92147356	92147753	398	+	32980	92112151	92142952	-	upstream	-4404	4404	NearestLocation	chr7	HAVANA	gene	92112151	92142952	.	-	.	protein_coding	KNOWN	CYP51A1	1	overlapping_locus
ENSG00000001631.15	chr7	92245719	92246333	615	+	31870	92198969	92246166	-	overlapStart	447	167	NearestLocation	chr7	HAVANA	gene	92198969	92246166	.	-	.	protein_coding	KNOWN	KRIT1	2	ncRNA_host
ENSG00000002079.12	chr7	99235822	99236211	390	+	31806	99238794	99311130	+	upstream	-2972	2583	NearestLocation	chr7	HAVANA	gene	99238794	99311130	.	+	.	unitary_pseudogene	KNOWN	MYH16	1	pseudo_consens
