feature	seqnames	start	end	width	strand	peak	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	V1	V2	V3	V4	V5	V6	V7	V8	gene_type	gene_status	gene_name	level	havana_gene
ENSG00000000419.12	chr20	50956800	50959599	2800	+	42914	50934867	50958555	-	overlapStart	1755	1044	NearestLocation	chr20	HAVANA	gene	50934867	50958555	.	-	.	protein_coding	KNOWN	DPM1	2	OTTHUMG00000032742.2
ENSG00000000457.13	chr1	169896000	169897199	1200	+	04195	169849631	169894267	-	upstream	-1733	1733	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000000457.13	chr1	169902800	169904199	1400	+	04196	169849631	169894267	-	upstream	-8533	8533	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000000938.12	chr1	27630800	27631599	800	+	01372	27612064	27635277	-	inside	4477	3678	NearestLocation	chr1	HAVANA	gene	27612064	27635277	.	-	.	protein_coding	KNOWN	FGR	2	OTTHUMG00000003516.2
ENSG00000000938.12	chr1	27632000	27633399	1400	+	01373	27612064	27635277	-	inside	3277	1878	NearestLocation	chr1	HAVANA	gene	27612064	27635277	.	-	.	protein_coding	KNOWN	FGR	2	OTTHUMG00000003516.2
ENSG00000000938.12	chr1	27633800	27634999	1200	+	01374	27612064	27635277	-	inside	1477	278	NearestLocation	chr1	HAVANA	gene	27612064	27635277	.	-	.	protein_coding	KNOWN	FGR	2	OTTHUMG00000003516.2
ENSG00000000938.12	chr1	27636200	27638799	2600	+	01375	27612064	27635277	-	upstream	-923	923	NearestLocation	chr1	HAVANA	gene	27612064	27635277	.	-	.	protein_coding	KNOWN	FGR	2	OTTHUMG00000003516.2
ENSG00000000971.15	chr1	196650000	196651799	1800	+	04569	196651878	196747504	+	upstream	-1878	79	NearestLocation	chr1	HAVANA	gene	196651878	196747504	.	+	.	protein_coding	KNOWN	CFH	1	OTTHUMG00000035607.5
ENSG00000000971.15	chr1	196659800	196662199	2400	+	04570	196651878	196747504	+	inside	7922	7922	NearestLocation	chr1	HAVANA	gene	196651878	196747504	.	+	.	protein_coding	KNOWN	CFH	1	OTTHUMG00000035607.5
ENSG00000001167.14	chr6	41070600	41075999	5400	+	16258	41072945	41099976	+	overlapStart	-2345	2345	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001617.11	chr3	50154600	50154999	400	+	10135	50155045	50189075	+	upstream	-445	46	NearestLocation	chr3	HAVANA	gene	50155045	50189075	.	+	.	protein_coding	KNOWN	SEMA3F	2	ncRNA_host
ENSG00000001629.9	chr7	92244200	92248399	4200	+	19281	92246234	92401384	+	overlapStart	-2034	2034	NearestLocation	chr7	HAVANA	gene	92246234	92401384	.	+	.	protein_coding	KNOWN	ANKIB1	2	OTTHUMG00000155859.2
ENSG00000001630.15	chr7	92139400	92141599	2200	+	19279	92112151	92142952	-	inside	3552	1353	NearestLocation	chr7	HAVANA	gene	92112151	92142952	.	-	.	protein_coding	KNOWN	CYP51A1	1	overlapping_locus
ENSG00000001630.15	chr7	92146400	92147799	1400	+	19280	92112151	92142952	-	upstream	-3448	3448	NearestLocation	chr7	HAVANA	gene	92112151	92142952	.	-	.	protein_coding	KNOWN	CYP51A1	1	overlapping_locus
ENSG00000002016.17	chr12	987600	989399	1800	+	29106	912077	990053	-	inside	2453	654	NearestLocation	chr12	HAVANA	gene	912077	990053	.	-	.	protein_coding	KNOWN	RAD52	2	overlapping_locus
ENSG00000002079.12	chr7	99231800	99237399	5600	+	19405	99238794	99311130	+	upstream	-6994	1395	NearestLocation	chr7	HAVANA	gene	99238794	99311130	.	+	.	unitary_pseudogene	KNOWN	MYH16	1	pseudo_consens
ENSG00000002330.13	chr11	64283800	64286399	2600	+	27887	64269830	64284704	-	overlapStart	904	904	NearestLocation	chr11	HAVANA	gene	64269830	64284704	.	-	.	protein_coding	KNOWN	BAD	1	OTTHUMG00000134302.4
ENSG00000002549.12	chr4	17575800	17579599	3800	+	11852	17577192	17607972	+	overlapStart	-1392	1392	NearestLocation	chr4	HAVANA	gene	17577192	17607972	.	+	.	protein_coding	KNOWN	LAP3	2	OTTHUMG00000048214.7
ENSG00000002586.18	chrX	2690800	2691599	800	+	45029	2691179	2741309	+	overlapStart	-379	379	NearestLocation	chrX	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	OTTHUMG00000021073.6
ENSG00000002586.18	chrX	2700800	2701199	400	+	45030	2691179	2741309	+	inside	9621	9621	NearestLocation	chrX	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	OTTHUMG00000021073.6
ENSG00000002586.18_PAR_Y	chrY	2691000	2691599	600	+	45968	2691179	2741309	+	overlapStart	-179	179	NearestLocation	chrY	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	PAR
ENSG00000002726.20	chr7	150819000	150821199	2200	+	21005	150824627	150861504	+	upstream	-5627	3428	NearestLocation	chr7	HAVANA	gene	150824627	150861504	.	+	.	protein_coding	KNOWN	AOC1	2	OTTHUMG00000158306.2
ENSG00000002745.12	chr7	121320000	121320999	1000	+	20046	121325367	121341104	+	upstream	-5367	4368	NearestLocation	chr7	HAVANA	gene	121325367	121341104	.	+	.	protein_coding	KNOWN	WNT16	2	OTTHUMG00000156963.1
ENSG00000002745.12	chr7	121321600	121322399	800	+	20047	121325367	121341104	+	upstream	-3767	2968	NearestLocation	chr7	HAVANA	gene	121325367	121341104	.	+	.	protein_coding	KNOWN	WNT16	2	OTTHUMG00000156963.1
