feature	seqnames	start	end	width	strand	peak	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	V1	V2	V3	V4	V5	V6	V7	V8	gene_type	gene_status	gene_name	level	havana_gene
ENSG00000003249.13	chr16	90018543	90020409	1867	+	977	90004865	90020128	-	overlapStart	1585	281	NearestLocation	chr16	HAVANA	gene	90004865	90020128	.	-	.	protein_coding	KNOWN	DBNDD1	2	OTTHUMG00000138984.3
ENSG00000004779.9	chr16	23594779	23596614	1836	+	391	23581002	23596356	-	overlapStart	1577	258	NearestLocation	chr16	HAVANA	gene	23581002	23596356	.	-	.	protein_coding	KNOWN	NDUFAB1	1	OTTHUMG00000096985.5
ENSG00000005189.19	chr16	20805663	20808046	2384	+	348	20806429	20849668	+	overlapStart	-766	766	NearestLocation	chr16	HAVANA	gene	20806429	20849668	.	+	.	protein_coding	KNOWN	AC004381.6	1	ncRNA_host
ENSG00000005339.14	chr16	3879093	3881751	2659	+	185	3725054	3880726	-	overlapStart	1633	1025	NearestLocation	chr16	HAVANA	gene	3725054	3880726	.	-	.	protein_coding	KNOWN	CREBBP	1	OTTHUMG00000129431.6
ENSG00000006007.11	chr16	19521342	19522192	851	+	336	19501689	19522145	-	overlapStart	803	47	NearestLocation	chr16	HAVANA	gene	19501689	19522145	.	-	.	protein_coding	KNOWN	GDE1	2	OTTHUMG00000131454.6
ENSG00000007038.10	chr16	2816729	2818821	2093	+	139	2817180	2826304	+	overlapStart	-451	451	NearestLocation	chr16	HAVANA	gene	2817180	2826304	.	+	.	protein_coding	KNOWN	PRSS21	2	OTTHUMG00000128931.2
ENSG00000007376.7	chr16	787125	788409	1285	+	051	784974	788397	-	overlapStart	1272	12	NearestLocation	chr16	HAVANA	gene	784974	788397	.	-	.	protein_coding	KNOWN	RPUSD1	2	OTTHUMG00000047840.4
ENSG00000007392.16	chr16	228454	229628	1175	+	017	188969	229463	-	overlapStart	1009	165	NearestLocation	chr16	HAVANA	gene	188969	229463	.	-	.	protein_coding	KNOWN	LUC7L	1	OTTHUMG00000060730.12
ENSG00000007516.13	chr16	1331420	1331854	435	+	058	1333601	1349441	+	upstream	-2181	1747	NearestLocation	chr16	HAVANA	gene	1333601	1349441	.	+	.	protein_coding	KNOWN	BAIAP3	1	OTTHUMG00000047833.5
ENSG00000007516.13	chr16	1332970	1334246	1277	+	059	1333601	1349441	+	overlapStart	-631	631	NearestLocation	chr16	HAVANA	gene	1333601	1349441	.	+	.	protein_coding	KNOWN	BAIAP3	1	OTTHUMG00000047833.5
ENSG00000007520.3	chr16	1350874	1352768	1895	+	060	1349240	1351911	-	overlapStart	1037	857	NearestLocation	chr16	HAVANA	gene	1349240	1351911	.	-	.	protein_coding	KNOWN	TSR3	2	OTTHUMG00000047834.3
ENSG00000007545.15	chr16	1612358	1615167	2810	+	070	1612325	1677908	+	inside	33	33	NearestLocation	chr16	HAVANA	gene	1612325	1677908	.	+	.	protein_coding	KNOWN	CRAMP1	2	overlapping_locus
ENSG00000010539.11	chr16	3234213	3235525	1313	+	173	3222325	3236221	-	inside	2008	696	NearestLocation	chr16	HAVANA	gene	3222325	3236221	.	-	.	protein_coding	KNOWN	ZNF200	2	OTTHUMG00000129317.5
ENSG00000011638.10	chr16	21158146	21159899	1754	+	352	21158377	21180616	+	overlapStart	-231	231	NearestLocation	chr16	HAVANA	gene	21158377	21180616	.	+	.	protein_coding	KNOWN	TMEM159	1	OTTHUMG00000131559.3
ENSG00000013364.18	chr16	29820334	29820772	439	+	470	29820394	29848039	+	overlapStart	-60	60	NearestLocation	chr16	HAVANA	gene	29820394	29848039	.	+	.	protein_coding	KNOWN	MVP	2	overlapping_locus
ENSG00000034713.7	chr16	75565698	75567367	1670	+	840	75566351	75577881	+	overlapStart	-653	653	NearestLocation	chr16	HAVANA	gene	75566351	75577881	.	+	.	protein_coding	KNOWN	GABARAPL2	2	OTTHUMG00000137613.2
ENSG00000038358.14	chr16	67872977	67874462	1486	+	747	67873023	67884503	+	overlapStart	-46	46	NearestLocation	chr16	HAVANA	gene	67873023	67884503	.	+	.	protein_coding	KNOWN	EDC4	2	overlapping_locus
ENSG00000038532.14	chr16	10944421	10945803	1383	+	241	10944488	11182189	+	overlapStart	-67	67	NearestLocation	chr16	HAVANA	gene	10944488	11182189	.	+	.	protein_coding	KNOWN	CLEC16A	1	overlapping_locus
ENSG00000039523.18	chr16	67521162	67521772	611	+	736	67518418	67546788	+	inside	2744	2744	NearestLocation	chr16	HAVANA	gene	67518418	67546788	.	+	.	protein_coding	KNOWN	FAM65A	1	OTTHUMG00000137536.7
ENSG00000047578.12	chr16	27550081	27550926	846	+	416	27550133	27780369	+	overlapStart	-52	52	NearestLocation	chr16	HAVANA	gene	27550133	27780369	.	+	.	protein_coding	KNOWN	KIAA0556	2	overlapping_locus
ENSG00000048471.13	chr16	11975792	11977804	2013	+	264	11976737	12574289	+	overlapStart	-945	945	NearestLocation	chr16	HAVANA	gene	11976737	12574289	.	+	.	protein_coding	KNOWN	SNX29	1	overlapping_locus
