feature	seqnames	start	end	width	strand	peak	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	V1	V2	V3	V4	V5	V6	V7	V8	gene_type	gene_status	gene_name	level	havana_gene
ENSG00000000457.13	chr1	169893102	169894220	1119	+	05291	169849631	169894267	-	inside	1165	47	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000000460.16	chr1	169662278	169662765	488	+	17632	169662007	169854080	+	inside	271	271	NearestLocation	chr1	HAVANA	gene	169662007	169854080	.	+	.	protein_coding	KNOWN	C1orf112	2	OTTHUMG00000035821.8
ENSG00000000971.15	chr1	196649927	196650630	704	+	20689	196651878	196747504	+	upstream	-1951	1248	NearestLocation	chr1	HAVANA	gene	196651878	196747504	.	+	.	protein_coding	KNOWN	CFH	1	OTTHUMG00000035607.5
ENSG00000000971.15	chr1	196652341	196653930	1590	+	19658	196651878	196747504	+	inside	463	463	NearestLocation	chr1	HAVANA	gene	196651878	196747504	.	+	.	protein_coding	KNOWN	CFH	1	OTTHUMG00000035607.5
ENSG00000001036.13	chr6	143510400	143511732	1333	+	04848	143494811	143511690	-	overlapStart	1290	42	NearestLocation	chr6	HAVANA	gene	143494811	143511690	.	-	.	protein_coding	KNOWN	FUCA2	2	OTTHUMG00000015728.2
ENSG00000001167.14	chr6	41071637	41074117	2481	+	04079	41072945	41099976	+	overlapStart	-1308	1172	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001461.16	chr1	24413070	24413871	802	+	06513	24415794	24472976	+	upstream	-2724	1923	NearestLocation	chr1	HAVANA	gene	24415794	24472976	.	+	.	protein_coding	KNOWN	NIPAL3	2	OTTHUMG00000003299.3
ENSG00000001461.16	chr1	24415752	24416535	784	+	06027	24415794	24472976	+	overlapStart	-42	42	NearestLocation	chr1	HAVANA	gene	24415794	24472976	.	+	.	protein_coding	KNOWN	NIPAL3	2	OTTHUMG00000003299.3
ENSG00000001497.16	chrX	65533451	65534859	1409	+	00144	65512582	65534775	-	overlapStart	1324	84	NearestLocation	chrX	HAVANA	gene	65512582	65534775	.	-	.	protein_coding	KNOWN	LAS1L	2	OTTHUMG00000021720.2
ENSG00000001617.11	chr3	50155041	50155840	800	+	08992	50155045	50189075	+	overlapStart	-4	4	NearestLocation	chr3	HAVANA	gene	50155045	50189075	.	+	.	protein_coding	KNOWN	SEMA3F	2	ncRNA_host
ENSG00000001631.15	chr7	92245130	92247050	1921	+	01831	92198969	92246166	-	overlapStart	1036	884	NearestLocation	chr7	HAVANA	gene	92198969	92246166	.	-	.	protein_coding	KNOWN	KRIT1	2	ncRNA_host
ENSG00000002330.13	chr11	64284033	64286445	2413	+	08374	64269830	64284704	-	overlapStart	671	671	NearestLocation	chr11	HAVANA	gene	64269830	64284704	.	-	.	protein_coding	KNOWN	BAD	1	OTTHUMG00000134302.4
ENSG00000002549.12	chr4	17567726	17568862	1137	+	24413	17577192	17607972	+	upstream	-9466	8330	NearestLocation	chr4	HAVANA	gene	17577192	17607972	.	+	.	protein_coding	KNOWN	LAP3	2	OTTHUMG00000048214.7
ENSG00000002549.12	chr4	17576617	17578478	1862	+	01248	17577192	17607972	+	overlapStart	-575	575	NearestLocation	chr4	HAVANA	gene	17577192	17607972	.	+	.	protein_coding	KNOWN	LAP3	2	OTTHUMG00000048214.7
ENSG00000002586.18	chrX	2691219	2692108	890	+	08246	2691179	2741309	+	inside	40	40	NearestLocation	chrX	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	OTTHUMG00000021073.6
ENSG00000002586.18_PAR_Y	chrY	2691223	2692150	928	+	10578	2691179	2741309	+	inside	44	44	NearestLocation	chrY	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	PAR
ENSG00000002822.15	chr7	2231895	2233592	1698	+	05534	1815793	2233243	-	overlapStart	1348	349	NearestLocation	chr7	HAVANA	gene	1815793	2233243	.	-	.	protein_coding	KNOWN	MAD1L1	1	ncRNA_host
ENSG00000002834.17	chr17	38869387	38871532	2146	+	06590	38869859	38921770	+	overlapStart	-472	472	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002919.14	chr17	48107007	48108380	1374	+	06923	48103357	48123074	+	inside	3650	3650	NearestLocation	chr17	HAVANA	gene	48103357	48123074	.	+	.	protein_coding	KNOWN	SNX11	2	OTTHUMG00000178822.2
ENSG00000003056.7	chr12	8948643	8950331	1689	+	04180	8940363	8949955	-	overlapStart	1312	376	NearestLocation	chr12	HAVANA	gene	8940363	8949955	.	-	.	protein_coding	KNOWN	M6PR	1	OTTHUMG00000168276.3
ENSG00000003147.17	chr7	8261196	8262722	1527	+	03215	8113184	8262687	-	overlapStart	1491	35	NearestLocation	chr7	HAVANA	gene	8113184	8262687	.	-	.	protein_coding	KNOWN	ICA1	2	OTTHUMG00000152008.8
ENSG00000003393.14	chr2	201780262	201781755	1494	+	01773	201700554	201781189	-	overlapStart	927	566	NearestLocation	chr2	HAVANA	gene	201700554	201781189	.	-	.	protein_coding	KNOWN	ALS2	2	OTTHUMG00000154507.7
ENSG00000003400.14	chr2	201182562	201185238	2677	+	10676	201182881	201229406	+	overlapStart	-319	319	NearestLocation	chr2	HAVANA	gene	201182881	201229406	.	+	.	protein_coding	KNOWN	CASP10	2	OTTHUMG00000132818.4
ENSG00000003402.19	chr2	201125898	201126021	124	+	20158	201116104	201176687	+	inside	9794	9794	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
ENSG00000003402.19	chr2	201124476	201125054	579	+	20916	201116104	201176687	+	inside	8372	8372	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
ENSG00000003402.19	chr2	201114378	201120326	5949	+	07705	201116104	201176687	+	overlapStart	-1726	1726	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
