feature	seqnames	start	end	width	strand	peak	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	V1	V2	V3	V4	V5	V6	V7	V8	gene_type	gene_status	gene_name	level	havana_gene
ENSG00000000457.13	chr1	169892650	169894900	2251	+	01095	169849631	169894267	-	overlapStart	1617	633	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000000460.16	chr1	169662200	169663050	851	+	01093	169662007	169854080	+	inside	193	193	NearestLocation	chr1	HAVANA	gene	169662007	169854080	.	+	.	protein_coding	KNOWN	C1orf112	2	OTTHUMG00000035821.8
ENSG00000001036.13	chr6	143509650	143512750	3101	+	12142	143494811	143511690	-	overlapStart	2040	1060	NearestLocation	chr6	HAVANA	gene	143494811	143511690	.	-	.	protein_coding	KNOWN	FUCA2	2	OTTHUMG00000015728.2
ENSG00000001167.14	chr6	41070750	41075450	4701	+	11769	41072945	41099976	+	overlapStart	-2195	2195	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001497.16	chrX	65533050	65535700	2651	+	14413	65512582	65534775	-	overlapStart	1725	925	NearestLocation	chrX	HAVANA	gene	65512582	65534775	.	-	.	protein_coding	KNOWN	LAS1L	2	OTTHUMG00000021720.2
ENSG00000001617.11	chr3	50155000	50156450	1451	+	09503	50155045	50189075	+	overlapStart	-45	45	NearestLocation	chr3	HAVANA	gene	50155045	50189075	.	+	.	protein_coding	KNOWN	SEMA3F	2	ncRNA_host
ENSG00000001631.15	chr7	92244050	92247550	3501	+	12657	92198969	92246166	-	overlapStart	2116	1384	NearestLocation	chr7	HAVANA	gene	92198969	92246166	.	-	.	protein_coding	KNOWN	KRIT1	2	ncRNA_host
ENSG00000002330.13	chr11	64283950	64287000	3051	+	02369	64269830	64284704	-	overlapStart	754	754	NearestLocation	chr11	HAVANA	gene	64269830	64284704	.	-	.	protein_coding	KNOWN	BAD	1	OTTHUMG00000134302.4
ENSG00000002549.12	chr4	17577200	17579300	2101	+	10192	17577192	17607972	+	inside	8	8	NearestLocation	chr4	HAVANA	gene	17577192	17607972	.	+	.	protein_coding	KNOWN	LAP3	2	OTTHUMG00000048214.7
ENSG00000002586.18	chrX	2690650	2693000	2351	+	14173	2691179	2741309	+	overlapStart	-529	529	NearestLocation	chrX	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	OTTHUMG00000021073.6
ENSG00000002586.18_PAR_Y	chrY	2690850	2692900	2051	+	14779	2691179	2741309	+	overlapStart	-329	329	NearestLocation	chrY	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	PAR
ENSG00000002822.15	chr7	2231250	2233750	2501	+	12261	1815793	2233243	-	overlapStart	1993	507	NearestLocation	chr7	HAVANA	gene	1815793	2233243	.	-	.	protein_coding	KNOWN	MAD1L1	1	ncRNA_host
ENSG00000002834.17	chr17	38866650	38873250	6601	+	05685	38869859	38921770	+	overlapStart	-3209	3209	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002919.14	chr17	48106300	48109650	3351	+	05847	48103357	48123074	+	inside	2943	2943	NearestLocation	chr17	HAVANA	gene	48103357	48123074	.	+	.	protein_coding	KNOWN	SNX11	2	OTTHUMG00000178822.2
ENSG00000003056.7	chr12	8948200	8951650	3451	+	02835	8940363	8949955	-	overlapStart	1755	1695	NearestLocation	chr12	HAVANA	gene	8940363	8949955	.	-	.	protein_coding	KNOWN	M6PR	1	OTTHUMG00000168276.3
ENSG00000003096.13	chrX	118116000	118117450	1451	+	14579	117897813	118117340	-	overlapStart	1340	110	NearestLocation	chrX	HAVANA	gene	117897813	118117340	.	-	.	protein_coding	KNOWN	KLHL13	2	ncRNA_host
ENSG00000003147.17	chr7	8260750	8262900	2151	+	12318	8113184	8262687	-	overlapStart	1937	213	NearestLocation	chr7	HAVANA	gene	8113184	8262687	.	-	.	protein_coding	KNOWN	ICA1	2	OTTHUMG00000152008.8
ENSG00000003393.14	chr2	201779850	201782050	2201	+	08160	201700554	201781189	-	overlapStart	1339	861	NearestLocation	chr2	HAVANA	gene	201700554	201781189	.	-	.	protein_coding	KNOWN	ALS2	2	OTTHUMG00000154507.7
ENSG00000003400.14	chr2	201182350	201184850	2501	+	08156	201182881	201229406	+	overlapStart	-531	531	NearestLocation	chr2	HAVANA	gene	201182881	201229406	.	+	.	protein_coding	KNOWN	CASP10	2	OTTHUMG00000132818.4
ENSG00000003402.19	chr2	201113950	201120500	6551	+	08155	201116104	201176687	+	overlapStart	-2154	2154	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
ENSG00000003756.16	chr3	50088150	50090600	2451	+	09502	50088908	50119021	+	overlapStart	-758	758	NearestLocation	chr3	HAVANA	gene	50088908	50119021	.	+	.	protein_coding	KNOWN	RBM5	1	overlapping_locus
ENSG00000004059.10	chr7	127583500	127586100	2601	+	12840	127588345	127591705	+	upstream	-4845	2245	NearestLocation	chr7	HAVANA	gene	127588345	127591705	.	+	.	protein_coding	KNOWN	ARF5	2	overlapping_locus
ENSG00000004059.10	chr7	127588400	127589750	1351	+	12841	127588345	127591705	+	inside	55	55	NearestLocation	chr7	HAVANA	gene	127588345	127591705	.	+	.	protein_coding	KNOWN	ARF5	2	overlapping_locus
ENSG00000004142.11	chr17	28356450	28358600	2151	+	05589	28347177	28357522	-	overlapStart	1072	1072	NearestLocation	chr17	HAVANA	gene	28347177	28357522	.	-	.	protein_coding	KNOWN	POLDIP2	2	OTTHUMG00000132065.8
ENSG00000004399.12	chr3	129602850	129606800	3951	+	09794	129555175	129606818	-	inside	3968	18	NearestLocation	chr3	HAVANA	gene	129555175	129606818	.	-	.	protein_coding	KNOWN	PLXND1	1	OTTHUMG00000159547.15
ENSG00000004455.16	chr1	33080200	33081900	1701	+	00339	33007940	33080996	-	overlapStart	796	796	NearestLocation	chr1	HAVANA	gene	33007940	33080996	.	-	.	protein_coding	KNOWN	AK2	1	ncRNA_host
ENSG00000004478.7	chr12	2794550	2796800	2251	+	02772	2794953	2805423	+	overlapStart	-403	403	NearestLocation	chr12	HAVANA	gene	2794953	2805423	.	+	.	protein_coding	KNOWN	FKBP4	2	OTTHUMG00000090429.3
