feature	seqnames	start	end	width	strand	peak	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	V1	V2	V3	V4	V5	V6	V7	V8	gene_type	gene_status	gene_name	level	havana_gene
ENSG00000000457.13	chr1	169893765	169894136	372	+	02042	169849631	169894267	-	inside	502	131	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000000938.12	chr1	27631211	27631540	330	+	00721	27612064	27635277	-	inside	4066	3737	NearestLocation	chr1	HAVANA	gene	27612064	27635277	.	-	.	protein_coding	KNOWN	FGR	2	OTTHUMG00000003516.2
ENSG00000001167.14	chr6	41072761	41073013	253	+	19247	41072945	41099976	+	overlapStart	-184	68	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001167.14	chr6	41073389	41073974	586	+	19248	41072945	41099976	+	inside	444	444	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001461.16	chr1	24413265	24413577	313	+	00589	24415794	24472976	+	upstream	-2529	2217	NearestLocation	chr1	HAVANA	gene	24415794	24472976	.	+	.	protein_coding	KNOWN	NIPAL3	2	OTTHUMG00000003299.3
ENSG00000001617.11	chr3	50154621	50154927	307	+	16167	50155045	50189075	+	upstream	-424	118	NearestLocation	chr3	HAVANA	gene	50155045	50189075	.	+	.	protein_coding	KNOWN	SEMA3F	2	ncRNA_host
ENSG00000001630.15	chr7	92147393	92147576	184	+	20580	92112151	92142952	-	upstream	-4441	4441	NearestLocation	chr7	HAVANA	gene	92112151	92142952	.	-	.	protein_coding	KNOWN	CYP51A1	1	overlapping_locus
ENSG00000001631.15	chr7	92245779	92246351	573	+	20581	92198969	92246166	-	overlapStart	387	185	NearestLocation	chr7	HAVANA	gene	92198969	92246166	.	-	.	protein_coding	KNOWN	KRIT1	2	ncRNA_host
ENSG00000002079.12	chr7	99235822	99236236	415	+	20621	99238794	99311130	+	upstream	-2972	2558	NearestLocation	chr7	HAVANA	gene	99238794	99311130	.	+	.	unitary_pseudogene	KNOWN	MYH16	1	pseudo_consens
ENSG00000002330.13	chr11	64285449	64285704	256	+	04259	64269830	64284704	-	upstream	-745	745	NearestLocation	chr11	HAVANA	gene	64269830	64284704	.	-	.	protein_coding	KNOWN	BAD	1	OTTHUMG00000134302.4
ENSG00000002549.12	chr4	17576798	17577298	501	+	17134	17577192	17607972	+	overlapStart	-394	106	NearestLocation	chr4	HAVANA	gene	17577192	17607972	.	+	.	protein_coding	KNOWN	LAP3	2	OTTHUMG00000048214.7
ENSG00000002549.12	chr4	17577450	17577699	250	+	17135	17577192	17607972	+	inside	258	258	NearestLocation	chr4	HAVANA	gene	17577192	17607972	.	+	.	protein_coding	KNOWN	LAP3	2	OTTHUMG00000048214.7
ENSG00000002586.18	chrX	2690958	2691486	529	+	23148	2691179	2741309	+	overlapStart	-221	221	NearestLocation	chrX	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	OTTHUMG00000021073.6
ENSG00000002586.18_PAR_Y	chrY	2690981	2691494	514	+	23767	2691179	2741309	+	overlapStart	-198	198	NearestLocation	chrY	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	PAR
ENSG00000002745.12	chr7	121330523	121330750	228	+	20852	121325367	121341104	+	inside	5156	5156	NearestLocation	chr7	HAVANA	gene	121325367	121341104	.	+	.	protein_coding	KNOWN	WNT16	2	OTTHUMG00000156963.1
ENSG00000002834.17	chr17	38869744	38870278	535	+	09304	38869859	38921770	+	overlapStart	-115	115	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002834.17	chr17	38871584	38871828	245	+	09305	38869859	38921770	+	inside	1725	1725	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002919.14	chr17	48107438	48108080	643	+	09604	48103357	48123074	+	inside	4081	4081	NearestLocation	chr17	HAVANA	gene	48103357	48123074	.	+	.	protein_coding	KNOWN	SNX11	2	OTTHUMG00000178822.2
ENSG00000003249.13	chr16	90022506	90022839	334	+	08780	90004865	90020128	-	upstream	-2378	2378	NearestLocation	chr16	HAVANA	gene	90004865	90020128	.	-	.	protein_coding	KNOWN	DBNDD1	2	OTTHUMG00000138984.3
ENSG00000003393.14	chr2	201780507	201780703	197	+	13746	201700554	201781189	-	inside	682	486	NearestLocation	chr2	HAVANA	gene	201700554	201781189	.	-	.	protein_coding	KNOWN	ALS2	2	OTTHUMG00000154507.7
ENSG00000003402.19	chr2	201116545	201116911	367	+	13741	201116104	201176687	+	inside	441	441	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
ENSG00000004059.10	chr7	127585485	127585790	306	+	20870	127588345	127591705	+	upstream	-2860	2555	NearestLocation	chr7	HAVANA	gene	127588345	127591705	.	+	.	protein_coding	KNOWN	ARF5	2	overlapping_locus
ENSG00000004059.10	chr7	127588412	127588940	529	+	20871	127588345	127591705	+	inside	67	67	NearestLocation	chr7	HAVANA	gene	127588345	127591705	.	+	.	protein_coding	KNOWN	ARF5	2	overlapping_locus
ENSG00000004399.12	chr3	129605578	129605783	206	+	16490	129555175	129606818	-	inside	1240	1035	NearestLocation	chr3	HAVANA	gene	129555175	129606818	.	-	.	protein_coding	KNOWN	PLXND1	1	OTTHUMG00000159547.15
ENSG00000004399.12	chr3	129606324	129606518	195	+	16491	129555175	129606818	-	inside	494	300	NearestLocation	chr3	HAVANA	gene	129555175	129606818	.	-	.	protein_coding	KNOWN	PLXND1	1	OTTHUMG00000159547.15
ENSG00000004399.12	chr3	129606990	129607285	296	+	16492	129555175	129606818	-	upstream	-172	172	NearestLocation	chr3	HAVANA	gene	129555175	129606818	.	-	.	protein_coding	KNOWN	PLXND1	1	OTTHUMG00000159547.15
ENSG00000004478.7	chr12	2794791	2794998	208	+	04939	2794953	2805423	+	overlapStart	-162	45	NearestLocation	chr12	HAVANA	gene	2794953	2805423	.	+	.	protein_coding	KNOWN	FKBP4	2	OTTHUMG00000090429.3
ENSG00000004487.15	chr1	23019250	23019570	321	+	00550	23019448	23083689	+	overlapStart	-198	122	NearestLocation	chr1	HAVANA	gene	23019448	23083689	.	+	.	protein_coding	KNOWN	KDM1A	1	ncRNA_host
ENSG00000004660.14	chr17	3888516	3888993	478	+	08863	3860315	3894891	-	inside	6375	5898	NearestLocation	chr17	HAVANA	gene	3860315	3894891	.	-	.	protein_coding	KNOWN	CAMKK1	2	OTTHUMG00000090725.2
ENSG00000004660.14	chr17	3890144	3890450	307	+	08864	3860315	3894891	-	inside	4747	4441	NearestLocation	chr17	HAVANA	gene	3860315	3894891	.	-	.	protein_coding	KNOWN	CAMKK1	2	OTTHUMG00000090725.2
ENSG00000004660.14	chr17	3892114	3892687	574	+	08865	3860315	3894891	-	inside	2777	2204	NearestLocation	chr17	HAVANA	gene	3860315	3894891	.	-	.	protein_coding	KNOWN	CAMKK1	2	OTTHUMG00000090725.2
ENSG00000004660.14	chr17	3893185	3893658	474	+	08866	3860315	3894891	-	inside	1706	1233	NearestLocation	chr17	HAVANA	gene	3860315	3894891	.	-	.	protein_coding	KNOWN	CAMKK1	2	OTTHUMG00000090725.2
