feature	seqnames	start	end	width	strand	peak	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	V1	V2	V3	V4	V5	V6	V7	V8	gene_type	gene_status	gene_name	level	havana_gene
ENSG00000000005.5	chrX	100579700	100580200	501	+	40317	100584802	100599885	+	upstream	-5102	4602	NearestLocation	chrX	HAVANA	gene	100584802	100599885	.	+	.	protein_coding	KNOWN	TNMD	2	OTTHUMG00000022001.1
ENSG00000000419.12	chr20	50957400	50959150	1751	+	22565	50934867	50958555	-	overlapStart	1155	595	NearestLocation	chr20	HAVANA	gene	50934867	50958555	.	-	.	protein_coding	KNOWN	DPM1	2	OTTHUMG00000032742.2
ENSG00000000457.13	chr1	169893700	169895300	1601	+	02381	169849631	169894267	-	overlapStart	567	567	NearestLocation	chr1	HAVANA	gene	169849631	169894267	.	-	.	protein_coding	KNOWN	SCYL3	2	OTTHUMG00000035941.5
ENSG00000000938.12	chr1	27630850	27631700	851	+	00553	27612064	27635277	-	inside	4427	3577	NearestLocation	chr1	HAVANA	gene	27612064	27635277	.	-	.	protein_coding	KNOWN	FGR	2	OTTHUMG00000003516.2
ENSG00000001167.14	chr6	41070600	41076050	5451	+	31465	41072945	41099976	+	overlapStart	-2345	2345	NearestLocation	chr6	HAVANA	gene	41072945	41099976	.	+	.	protein_coding	KNOWN	NFYA	2	OTTHUMG00000014669.1
ENSG00000001561.6	chr6	46139450	46140250	801	+	31559	46129993	46146699	+	inside	9457	6449	NearestLocation	chr6	HAVANA	gene	46129993	46146699	.	+	.	protein_coding	KNOWN	ENPP4	2	OTTHUMG00000014779.2
ENSG00000001629.9	chr7	92244500	92248400	3901	+	34576	92246234	92401384	+	overlapStart	-1734	1734	NearestLocation	chr7	HAVANA	gene	92246234	92401384	.	+	.	protein_coding	KNOWN	ANKIB1	2	OTTHUMG00000155859.2
ENSG00000002079.12	chr7	99235250	99236650	1401	+	34668	99238794	99311130	+	upstream	-3544	2144	NearestLocation	chr7	HAVANA	gene	99238794	99311130	.	+	.	unitary_pseudogene	KNOWN	MYH16	1	pseudo_consens
ENSG00000002330.13	chr11	64283700	64286500	2801	+	06518	64269830	64284704	-	overlapStart	1004	1004	NearestLocation	chr11	HAVANA	gene	64269830	64284704	.	-	.	protein_coding	KNOWN	BAD	1	OTTHUMG00000134302.4
ENSG00000002549.12	chr4	17576500	17578600	2101	+	26050	17577192	17607972	+	overlapStart	-692	692	NearestLocation	chr4	HAVANA	gene	17577192	17607972	.	+	.	protein_coding	KNOWN	LAP3	2	OTTHUMG00000048214.7
ENSG00000002586.18	chrX	2690900	2691650	751	+	39166	2691179	2741309	+	overlapStart	-279	279	NearestLocation	chrX	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	OTTHUMG00000021073.6
ENSG00000002586.18	chrX	2700750	2701400	651	+	39167	2691179	2741309	+	inside	9571	9571	NearestLocation	chrX	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	OTTHUMG00000021073.6
ENSG00000002586.18_PAR_Y	chrY	2690650	2693150	2501	+	41042	2691179	2741309	+	overlapStart	-529	529	NearestLocation	chrY	HAVANA	gene	2691179	2741309	.	+	.	protein_coding	KNOWN	CD99	2	PAR
ENSG00000002745.12	chr7	121330400	121331100	701	+	34962	121325367	121341104	+	inside	5033	5033	NearestLocation	chr7	HAVANA	gene	121325367	121341104	.	+	.	protein_coding	KNOWN	WNT16	2	OTTHUMG00000156963.1
ENSG00000002834.17	chr17	38867100	38872150	5051	+	15135	38869859	38921770	+	overlapStart	-2759	2291	NearestLocation	chr17	HAVANA	gene	38869859	38921770	.	+	.	protein_coding	KNOWN	LASP1	1	ncRNA_host
ENSG00000002919.14	chr17	48107100	48108600	1501	+	15308	48103357	48123074	+	inside	3743	3743	NearestLocation	chr17	HAVANA	gene	48103357	48123074	.	+	.	protein_coding	KNOWN	SNX11	2	OTTHUMG00000178822.2
ENSG00000003393.14	chr2	201780350	201782000	1651	+	21117	201700554	201781189	-	overlapStart	839	811	NearestLocation	chr2	HAVANA	gene	201700554	201781189	.	-	.	protein_coding	KNOWN	ALS2	2	OTTHUMG00000154507.7
ENSG00000003402.19	chr2	201115200	201117950	2751	+	21109	201116104	201176687	+	overlapStart	-904	904	NearestLocation	chr2	HAVANA	gene	201116104	201176687	.	+	.	protein_coding	KNOWN	CFLAR	1	ncRNA_host
ENSG00000003509.15	chr2	37230600	37233200	2601	+	18929	37231631	37253403	+	overlapStart	-1031	1031	NearestLocation	chr2	HAVANA	gene	37231631	37253403	.	+	.	protein_coding	KNOWN	NDUFAF7	1	OTTHUMG00000128468.6
ENSG00000003989.16	chr8	17496350	17497000	651	+	35770	17497088	17570573	+	upstream	-738	88	NearestLocation	chr8	HAVANA	gene	17497088	17570573	.	+	.	protein_coding	KNOWN	SLC7A2	2	OTTHUMG00000130819.4
